,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
0,0,0.0,0.0,0,0.0,0.0
1,1,9.0208,0.2748366968899288,1,8.848,0.27597564627208304
2,2,13.4496,0.40976893828604855,2,13.3152,0.4153109092723825
3,3,15.7792,0.48074485717071264,3,15.808,0.49306317995807963
4,4,17.5488,0.5346592570927171,4,17.552,0.547459826329973
5,5,18.848,0.5742419810860875,5,18.9664,0.5915760055893802
6,6,19.7216,0.6008579506678365,6,20.0224,0.6245134244934625
7,7,20.1792,0.6147996490201814,7,20.6592,0.6443756861962271
8,8,20.6432,0.6289363361606707,8,21.0976,0.6580497055594371
9,9,21.0112,0.6401481914789899,9,21.5936,0.6735203114083241
10,10,21.3888,0.6516525299795262,10,22.3328,0.6965765046411817
11,11,21.7696,0.6632543628741348,11,22.8928,0.7140433176963769
12,12,22.0512,0.6718338695525007,12,23.4784,0.7323086136340953
13,13,22.3808,0.6818757921419518,13,23.8208,0.742988322187843
14,14,22.6112,0.6888953885151603,14,24.0768,0.7509731510130752
15,15,22.9728,0.6999122550453348,15,24.4064,0.7612536181255615
16,16,23.1968,0.7067368626303987,16,24.8256,0.7743287753268789
17,17,23.52,0.7165837964317051,17,25.312,0.7894999500948199
18,18,23.5744,0.7182412011309349,18,25.7408,0.8028745383770836
19,19,23.6992,0.7220434824997563,19,26.1344,0.8151512126958778
20,20,23.9296,0.7290630788729647,20,26.4288,0.8243337658448947
21,21,24.1056,0.7344252705469435,21,26.7072,0.8330172671923346
22,22,24.2336,0.7383250463098371,22,26.8992,0.8390058888112586
23,23,24.3008,0.7403724285853562,23,27.1744,0.847589579798383
24,24,24.416,0.7438822267719606,24,27.4592,0.8564727018664537
25,25,24.576,0.7487569464755777,25,27.8944,0.8700469108693483
26,26,24.8192,0.7561665204250755,26,28.2112,0.879928136540573
27,27,25.0464,0.7630886224042117,27,28.464,0.8878131550054895
28,28,25.2416,0.7690357804426244,28,28.624,0.8928036730212595
29,29,25.504,0.7770303207565565,29,28.72,0.8957979838307216
30,30,25.5008,0.7769328263624842,30,28.8192,0.898892105000499
31,31,25.6352,0.7810275909135225,31,28.7936,0.8980936221179758
32,32,25.8752,0.7883396704689479,32,28.7936,0.8980936221179758
33,33,25.9968,0.792044457443697,33,28.768,0.8972951392354527
34,34,26.2464,0.7996490201813395,34,28.7648,0.8971953288751373
35,35,26.4224,0.8050112118553182,35,28.8736,0.9005888811258609
36,36,26.5376,0.8085210100419226,36,28.8672,0.90038926040523
37,37,26.7584,0.8152481232329141,37,28.7648,0.8971953288751373
38,38,26.8064,0.8167105391439992,38,28.7104,0.8954985527497754
39,39,26.8288,0.8173929999025056,39,28.8512,0.899890208603653
40,40,26.9312,0.8205128205128205,40,28.6496,0.8936021559037828
41,41,27.0464,0.8240226186994247,41,28.528,0.8898093622117975
42,42,27.2288,0.8295797991615481,42,28.4896,0.8886116378880128
43,43,27.424,0.835526957199961,43,28.576,0.8913065176165286
