,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
60,60,23.0624,0.9143618370971834,60,23.2064,0.980264936469316
61,61,23.1136,0.9163917787363614,61,23.3408,0.9859421465260881
62,62,23.1936,0.9195635625475768,62,23.488,0.9921600432549337
63,63,23.248,0.9217203755392033,63,23.5328,0.9940524466071912
64,64,23.2384,0.9213397614818574,64,23.5104,0.9931062449310625
65,65,23.3184,0.9245115452930728,65,23.36,0.9867531765341984
66,66,23.4144,0.9283176858665313,66,23.2096,0.9804001081373344
67,67,23.6224,0.9365643237756914,67,23.1168,0.9764801297648014
68,68,23.856,0.9458259325044406,68,23.0976,0.975669099756691
69,69,24.0928,0.9552144125856382,69,23.2448,0.9818869964855367
70,70,24.2912,0.9630804364374524,70,23.3696,0.9871586915382535
71,71,24.4832,0.9706927175843695,71,23.4688,0.9913490132468236
72,72,24.6304,0.9765287997970059,72,23.5232,0.9936469316031359
73,73,24.6848,0.9786856127886323,73,23.5968,0.9967558799675589
74,74,24.7648,0.9818573965998478,74,23.6736,1.0
75,75,24.8096,0.9836335955341283,75,23.648,0.9989186266558528
76,76,24.8352,0.9846485663537173,76,23.6096,0.9972965666396323
77,77,24.8416,0.9849023090586145,77,23.504,0.9928359015950258
78,78,24.9248,0.9882009642222787,78,23.4368,0.9899972965666397
79,79,25.0176,0.9918802334432886,79,23.376,0.9874290348742903
80,80,25.0848,0.9945445318447095,80,23.3056,0.9844552581778858
81,81,25.1872,0.9986044151230652,81,23.1904,0.9795890781292241
82,82,25.1552,0.9973357015985791,82,23.1616,0.9783725331170586
83,83,25.0784,0.9942907891398122,83,23.1232,0.9767504731008381
84,84,24.9696,0.9899771631565593,84,23.152,0.9779670181130036
85,85,24.8928,0.9869322506977924,85,23.1232,0.9767504731008381
86,86,24.8544,0.9854097944684089,86,23.0752,0.9747228980805622
87,87,24.7968,0.9831261101243339,87,23.0752,0.9747228980805622
88,88,24.8192,0.9840142095914741,88,23.024,0.9725601513922681
89,89,24.8608,0.9856635371733063,89,23.0368,0.9731008380643417
90,90,24.96,0.9895965490992135,90,23.0144,0.972154636388213
91,91,25.0272,0.9922608475006344,91,22.9504,0.9694512030278453
92,92,25.0496,0.9931489469677748,92,22.9248,0.9683698296836983
93,93,25.1328,0.9964476021314387,93,22.8256,0.9641795079751284
94,94,25.1712,0.9979700583608221,94,22.6592,0.9571505812381724
95,95,25.1872,0.9986044151230652,95,22.56,0.9529602595296025
96,96,25.2096,0.9994925145902055,96,22.528,0.9516085428494186
97,97,25.2096,0.9994925145902055,97,22.5568,0.9528250878615842
98,98,25.2224,1.0,98,22.576,0.9536361178696945
99,99,25.2128,0.9996193859426542,99,22.5312,0.9517437145174371
