,sfc,arr_size,arr_shape,100.0 count,200.0 count,ice_percent,water_percent,ice_to_water_ratio,water_to_ice_ratio
0,b2000aug31,40000,"(200, 200)",9661,30339,24.1525,75.8475,0.3184350176340684,3.1403581409791945
2,b2001sep03,40000,"(200, 200)",17266,22734,43.165,56.835,0.759479194158529,1.3166917641607785
3,c2000aug07,40000,"(200, 200)",34107,5893,85.2675,14.732500000000002,5.787714237230611,0.17277978127657082
4,e2000jul06,40000,"(200, 200)",22149,17851,55.3725,44.6275,1.2407708251638565,0.8059506072508916
5,e2000jul28,40000,"(200, 200)",32435,7565,81.0875,18.912499999999998,4.287508261731659,0.2332357021735779
1,e2001sep08,40000,"(200, 200)",38564,1436,96.41,3.5900000000000003,26.855153203342613,0.03723680116170522
