,sfc,mean,median,max,min,variance,skewness,kurtosis
0,b2000aug31_all,14.247551202137133,5.0,173.0,1.0,425.2462874138966,2.7139486951809264,9.657692779132155
1,b2000aug31_x,13.722126929674099,5.0,155.0,1.0,467.9419975344892,2.879183938359122,9.782092818713938
2,b2000aug31_y,14.814814814814815,6.0,173.0,1.0,378.53089163237314,2.468595405061826,9.295058818739037
3,b2000aug31_water,20.95234806629834,11.0,173.0,1.0,649.6047734921096,1.9915880750711659,4.900592010560617
4,b2000aug31_ice,7.106289076866495,3.0,59.0,1.0,87.4042966005096,2.4790074973304033,6.655331888462856
5,b2001sep03_all,7.069193477302776,3.0,127.0,1.0,135.16480239050836,4.345062963848459,23.922397243960276
6,b2001sep03_x,6.978367062107467,3.0,112.0,1.0,124.74551945493742,3.8637190972105775,18.426466476162727
7,b2001sep03_y,7.161945483698557,3.0,127.0,1.0,145.78795502499875,4.713719857623875,27.7025460151747
8,b2001sep03_water,7.97124824684432,3.0,127.0,1.0,168.9963682876021,3.951658755410021,19.837696582788855
9,b2001sep03_ice,6.157064350292502,3.0,100.0,1.0,99.30062772303508,4.813430721976943,28.849956216563463
10,c2000aug07_all,11.93299733175215,4.0,197.0,1.0,419.4731270077012,3.2479526452151504,12.428387002061935
11,c2000aug07_x,12.10114388922336,4.0,197.0,1.0,453.8639420991033,3.2728284135345005,12.806997857525769
12,c2000aug07_y,11.769859813084112,4.0,180.0,1.0,386.0527597934318,3.1957692529022252,11.65761902555442
13,c2000aug07_water,3.651177199504337,2.0,38.0,1.0,13.804592790161673,2.7987829782493705,12.196331753238903
14,c2000aug07_ice,19.532120523024446,9.0,197.0,1.0,671.0198608245872,2.213514755248866,5.422825461334186
15,e2000jul06_all,6.619228859837829,3.0,116.0,1.0,90.68837425227319,3.6730411386178243,18.397985895643284
16,e2000jul06_x,6.749915626054674,3.0,116.0,1.0,94.85747130573961,3.625394327647906,18.270650491287537
17,e2000jul06_y,6.4935064935064934,3.0,97.0,1.0,86.64541237982796,3.717873555545909,18.44138301812208
18,e2000jul06_water,5.936481543066179,2.0,116.0,1.0,122.86626803283195,4.060125314978223,19.041643044790366
19,e2000jul06_ice,7.295454545454546,5.0,67.0,1.0,57.898872619475384,2.199658191933127,6.712913643842866
20,e2000jul28_all,7.654037504783774,3.0,141.0,1.0,111.51042858948509,3.0575742177172662,13.51093254288526
21,e2000jul28_x,7.6452599388379205,3.0,79.0,1.0,96.94487814344097,2.3442005205728202,6.086208165127623
22,e2000jul28_y,7.662835249042145,3.0,141.0,1.0,126.10930843645865,3.5062850230178877,17.46066969392712
23,e2000jul28_water,2.941862726035388,2.0,52.0,1.0,12.477856689691732,4.401447278512594,30.29108749548741
24,e2000jul28_ice,12.218873610849501,8.0,141.0,1.0,165.0984495882827,2.270455743534807,7.698168003787199
25,e2001sep08_all,28.162124388539482,6.0,200.0,1.0,1785.222492761606,2.207456748637609,5.081801774350346
26,e2001sep08_x,24.64658881376767,6.0,175.0,1.0,964.8419106133477,1.5468286521436965,2.3287701040139455
27,e2001sep08_y,32.79352226720648,6.0,200.0,1.0,2828.267488403351,1.9869349503979434,3.002845494959905
28,e2001sep08_water,2.323624595469256,2.0,30.0,1.0,5.500445114734868,4.359301417126794,29.323763335341553
29,e2001sep08_ice,47.80319803198032,33.0,200.0,1.0,2244.8062874355683,1.5666194917185368,2.268489919792607
